"id";"year";"width";"height";"depth";"title";"description";"artistid";"latitude";"longitude";"city";"country";"sortyear";"roomid";"imageid";"imagepath"
71;"1850";204;140;;"La Mort de Moïse";"";28;;;"Montpellier";"France";1850;92;691;"725b9490fb2fe4aabd77940cae0e9a3759583f0e2d5add8c9fce4eb12f52bd91.jpg"
72;"1883";53;74;;"Portrait de M. Pierre Cabanel";"";28;;;"Montpellier";"France";1883;92;692;"d3b3223ee3024b4460243b5db5127404024fa5ba66bff9a99a7670c535b82383.jpg"
73;"1843";40.5;32.5;;"Saint Paul entouré par les lions";"";28;;;"Montpellier";"France";1843;92;693;"4786a59e79a6ba1726a2ad1cfe714567ea217e122823488a804430848bab5493.jpg"
74;"1865";73;92;;"Étude pour le Paradis perdu: Adam";"";28;;;"Montpellier";"France";1865;92;694;"6aa3d72a3c1bac2ae79a9ed1791070afa1980025c3957d69634b63ce55fb4fb8.jpg"
75;"1849";141.5;195;;"Saint Jean Baptiste";"Jean le Baptiste ou Jean Baptiste, de son nom de naissance Yohanan (hébreu : יוחנן), est un personnage majeur du christianisme, prophète du Nouveau Testament et de l'islam. Sur le plan historique, son existence est attestée par un passage de Flavius Josèphe. Il est un prédicateur juif du temps de Jésus de Nazareth.
L'Évangile selon Jean localise l'activité du Baptiste sur les rives du Jourdain et à Béthanie au-delà du Jourdain. Jésus aurait, semble-t-il, vécu un temps dans son entourage et y aurait recruté ses premiers apôtres. Les Évangiles synoptiques synchronisent le début de l'activité de Jésus avec l'emprisonnement de Jean.
L'audience de ce prophète apocalyptique n'a cessé de croître, au point de susciter la réaction d'Hérode Antipas, qui, le voyant rassembler ses partisans, craint qu'il ne suscite une révolte. Dans les Évangiles synoptiques, le Baptiste est mis à mort parce qu'il a critiqué le mariage d'Antipas avec Hérodiade.
Dans le christianisme, Jean le Baptiste est le prophète qui a annoncé la venue de Jésus de Nazareth et l'a baptisé sur les bords du Jourdain, laissant certains de ses disciples se joindre à lui. Précurseur du Messie, il est présenté dans les Évangiles synoptiques comme partageant beaucoup de traits avec le prophète Élie, ce qui n'est pas mentionné dans l'Évangile selon Jean.
Le catholicisme en a fait un saint et lui a consacré deux fêtes : le 24 juin qui commémore sa naissance, fixée six mois avant Noël pour se conformer au récit d'enfance de l'Évangile selon Luc, et le 29 août qui célèbre la mémoire de sa décapitation (sous le nom traditionnel de décollation de Jean Baptiste).
La religion mandéenne en fait son prophète principal. Il est considéré par l'islam comme un prophète descendant de 'Imrān.";28;;;"Montpellier";"France";1849;92;695;"c9c6dd877970d0bfdcdffbca0dcdac87aec6164f98dffa187c937041dc01663b.jpg"
76;"1846";63;75;;"Portrait d'Alfred Bruyas";"";28;;;"Montpellier";"France";1846;92;696;"222a636107c4b4345a90d14b4ed3a8e503cdb3cbe9d966c5f822bff60fce2a1d.jpg"
77;"1848";72.5;91.5;;"Un penseur, jeune moine romain";"";28;;;"Montpellier";"France";1848;92;697;"1c7d63c27bd2fe52da4c63a873ab667aac5c7eb30fc469f15b7216650b43fcc1.jpg"
78;"1848";80.5;98;;"Albaydé";"Albaydé est un tableau réalisé par le peintre français Alexandre Cabanel en 1848 à Rome, en Italie. Cette huile sur toile est le portrait d'une jeune femme en blouse décolletée devant une végétation dense. Il s'agit d'une représentation d'Albaydé, un personnage des Orientales de Victor Hugo dont la mort à quinze ans informe le poème Les Tronçons du serpent. Orientaliste, elle figure l'adolescente à la manière d'une odalisque maladive étendue sur le divan d'un harem, un liseron en fleurs à la main. Don d'Alfred Bruyas en 1868, l'œuvre est conservée au musée Fabre de Montpellier.";28;;;"Montpellier";"France";1848;92;698;"599ff461a08454000323bac07118ddcc3b1749298de578c29bd8c7539021621e.jpg"
79;"1850";46.5;60.5;;"Portrait de l'artiste par lui-même (à 29 ans)";"";28;;;"Montpellier";"France";1850;92;699;"fbeec9f049ea19f3c2278e39615a5fe67fb00bb316984c83aab520556889b425.jpg"
80;"1851";90;105.5;;"Portrait de madame Louise Marès, née Bidreman";"";28;;;"Montpellier";"France";1851;92;700;"102e63adc7ddfa72ca2b5bcce111a35412f7d6b0bb2f59adff81a9bbf39e3479.jpg"
81;"1844";146.5;114;;"Cincinnatus recevant les ambassadeurs chargés de lui porter les insignes de la dictature";"";28;;;"Montpellier";"France";1844;92;701;"9e1c1bac79e9fd4293aa419b9947ca442648af2e08c1f52b8ef723088d4647dd.jpg"
82;"1791";175;155.5;;"Suzanne et les vieillards";"Suzanne et les Vieillards (ou Suzanne et les deux vieillards ou encore Suzanne au bain) est le chapitre 13 du Livre de Daniel dans sa version deutérocanonique.
Le chapitre relate l'histoire d'une jeune femme, Suzanne qui, observée alors qu'elle prend son bain, refuse les propositions malhonnêtes de deux vieillards. Pour se venger, ceux-ci l'accusent alors d'adultère et la font condamner à mort, mais le prophète Daniel, encore adolescent, intervient et prouve son innocence. Il fait condamner les vieillards.
Ce texte, présent dans la Septante, a fait l'objet de nombreuses représentations.";29;;;"Montpellier";"France";1791;92;702;"de1dcbc4177f78953a8614e10047af7a02fffc8f891a3c769737803ee4b430aa.jpg"
83;"1790";198.5;147;;"La Mort d'Abel";"";29;;;"Montpellier";"France";1790;92;703;"a4037aab4f1195d1f480cb41382f1c4b031477ff21cd16bc7ab2aa6937e08912.jpg"
84;"1789";148.5;198;;"Saint Sébastien expirant";"";29;;;"Montpellier";"France";1789;92;704;"93318c3fe14977aa9944553670166a5c098a796e8428605e010061c08c0f94c0.jpg"
85;"1788";147;187.5;;"Soldat romain au repos, académie";"";29;;;"Montpellier";"France";1788;92;705;"71c8a4289532766e6b95c23967f07af3cdbe1f04f06a179702ac8f9e1b0f1390.jpg"
86;"1812";72.8;92;;"Portrait du sculpteur Antonio Canova (1757-1822)";"";29;;;"Montpellier";"France";1812;92;706;"a586b0ac2d474633113c3ffd1110d4d7dca875dd26502b9c845e0a117be838bb.jpg"
87;"1791";63;76;;"Tête de Saint Jean-Baptiste, étude";"";29;;;"Montpellier";"France";1791;92;707;"f8d7989f11ee306c17f2840126b6a9240da16c3fa04d1f76e2abfad9680e5c9e.jpg"
88;"1791";51.5;69;;"Tête d'homme barbu, de profil";"";29;;;"Montpellier";"France";1791;92;708;"5e84fc7c23e687fda6f069ebf5dc93d8188ad30985e3dff967228ade296cef34.jpg"
89;"1784";45.5;58;;"Tête de vieillard";"Cephalocereus senilis (Tête de vieillard) est une espèce du genre Cephalocereus de la famille des Cactaceae. Elle est originaire de Guanajuato et Hidalgo dans l'est du Mexique. Elle est menacée dans son habitat naturel, mais le développement de sa culture a réduit les prélèvements dans la nature.
C'est une grande espèce colonnaire, avec des touffes de troncs de 5 à 15 cm à l'âge adulte. Ces troncs ne se ramifient pas.
L'aspect le plus spectaculaire est la présence de long poils blancs qui la protègent du soleil et la recouvrent totalement en justifiant son appellation familière de Tête de vieillard.
Les fleurs sont rouges, jaunes ou blanches, mais n'apparaissent que sur les sujets âgés de 10 à 20 ans.";29;;;"Montpellier";"France";1784;92;709;"0975903ca56406415d968a1c3375972c8f2f6b9ebe84d860c652faa7fd793630.jpg"
90;"1803";33;41;;"Portrait de Vittorio Alfieri (1749-1803)";"";29;;;"Montpellier";"France";1803;92;710;"db754c33bb58a19dfec3c6101ab054febf74306d0ddc0eb2a4734138e0ec506b.jpg"
91;"1796";26;32.5;;"Portrait de Louise de Stolberg, comtesse d'Albany (1752-1824)";"";29;;;"Montpellier";"France";1796;92;711;"1f85a45a0d5343189a4178d684cdc090f4d83588ae9613fba60dd896313d53d7.jpg"
92;"1791";74;94;;"Portrait du docteur Henri Fabre, frère du peintre";"";29;;;"Montpellier";"France";1791;92;712;"63ded8e6a14efc46f3fb729fff1e2a5c3bf5311c35e3d50c2cd5d79d067fc4c0.jpg"
93;"1795";38;37;;"Portrait d'une jeune dessinatrice";"";29;;;"Montpellier";"France";1795;92;713;"fbc667bee2ced40aa33d5a935cecd3bbfb09a8607fc7a52972ad76c73308023f.jpg"
94;"1808";38;46;;"Portrait de Lucien Bonaparte (1775-1840)";"";29;;;"Montpellier";"France";1808;92;714;"75fc69d1eae24fbb27a7d38f7207d25b82786b698da126c03b37983746421b94.jpg"
95;"1784";44;54;;"Autoportrait";"Un autoportrait est la représentation imagée d'une personne par elle-même : dessin, peinture, gravure, sculpture, écriture et, depuis la seconde moitié du XIXe siècle, photographie.
Bien que la pratique des arts plastiques ait cours depuis les temps les plus reculés, ce n'est qu'en Europe que l'autoportrait est apparu en tant que genre artistique et seulement à partir de la fin du XIVe siècle : d'abord selon le procédé du caméo (insertion du portrait dans des compositions de grands formats) puis, à la fin du XVe siècle, de façon cette fois totalement indépendante.
L'autoportrait émerge essentiellement en raison de deux facteurs. Le premier, d'ordre technique, est le développement de la miroiterie, qui permet à un plus grand nombre d'individus de découvrir l'apparence de leur visage ; le second, de nature anthropologique, concerne le changement de statut social du fabricant d'images qui, d'artisan anonyme et serviteur de l'Église qu'il était, se transforme en quelques années à peine en artiste courtisé par les puissants et qui estime finalement légitime le fait de se représenter soi-même en tant que « sujet » du tableau.
On peut donc l'analyser selon deux voies à la fois distinctes et complémentaires :

d'une part une approche artistique, qui concerne la façon dont « le portraituré » entend s'exposer au regard d'autrui et la façon dont « le portraitiste » s'y prend ;
d'autre part une approche chronologique, qui concerne cette fois l'évolution du genre depuis son émergence jusqu'à nos jours, ceci en corrélation avec l'évolution de la société elle-même.
À la différence de tous les autres genres artistiques, l'autoportrait présente la particularité que celui qui réalise l'œuvre (le « fabricant »), celui qu'elle représente (le sujet) et celui qui en est à l'initiative (le commanditaire) ne sont qu'une seule et même personne. Avec l'apparition des réseaux sociaux et du selfie au début du XXIe siècle, un quatrième « membre » se greffe sur cette trinité : le diffuseur.
Plus que tout autre genre, donc, l'autoportrait informe le spectateur de la façon dont vie publique et vie privée interagissent au fil des époques, en même temps qu'il l'interroge sur son statut même et celui de la pratique artistique dans son ensemble. Il constitue par conséquent un matériau précieux non seulement pour les historiens de l'art mais également les psychologues et les sociologues.";29;;;"Montpellier";"France";1784;92;715;"19588e0911b7c0776a17a9dd92e3ddb2ca5e0aa0e0afb69d759b56e9b79b2b0e.jpg"
96;"1835";59;72.5;;"Autoportrait âgé";"";29;;;"Montpellier";"France";1835;92;716;"c973e017c4a8f10ef418b0c5c872769b5c0b5267a6824aef51e031bdfe5c98ff.jpg"
97;"1786";60.5;72.5;;"Portrait de Philippe-Laurent de Joubert, trésorier de la Bourse des Etats du Languedoc (1729-1792)";"";29;;;"Montpellier";"France";1786;92;717;"4373d248dd831c33b06614466e9d05461701fb0918aecca018c79fc2f306a76b.jpg"
98;"1560";130.5;130.5;;"Le Mariage de sainte Catherine";"";30;;;"Montpellier";"France";1560;92;718;"26809ffd8c9ac16e9115c392d60076629e99c36ae6baec1e0608f4925fff51e2.jpg"
99;"1862";50.5;61;;"Orphée secourant Eurydice";"";31;;;"Montpellier";"France";1862;92;719;"5a2e86a1fec67bef1de6c06bf06c427647fed14db99557c54411b38010e0c020.jpg"
100;"1862";38;46;;"Portrait de Pierre-Auguste Fajon";"";32;;;"Montpellier";"France";1862;92;720;"c3c93845d6a92acf3203e19dda2e6f393f6071e5357c32c3906f7999930d19d0.jpg"
101;"1854";37;45;;"Etude de femme (H. Bonion)";"";32;;;"Montpellier";"France";1854;92;721;"2900b45b4413dfcc5b4cc35f2e46c1449eb257444abbc236bf064f2f309bca24.jpg"
102;"1854";37;45;;"Portrait de Bruyas de profil, 1854";"";32;;;"Montpellier";"France";1854;92;722;"e1ca39f1f7d42edaa2b90119ecebfb4175fd9f7df6b3854a85f19fd5e99b2f0c.jpg"
103;"1620";90;75;;"Paysage au satyre endormi";"";33;;;"Montpellier";"France";1620;92;723;"aa06f6fe4122fba014bbb6f35919b8ce3b362536b83aaf279a8bb72372777235.jpg"
104;"1720";65;82;;"Portrait de Fontenelle (1657-1757)";"";34;;;"Montpellier";"France";1720;92;724;"36f47df2ff4fc0c88233b3b13c74971cd3fd97fe03daa5f051c4cc7aef8d5587.jpg"
106;"1806";;;;"Tête de femme et main d'homme";"";35;;;"Montpellier";"France";1806;92;726;"5be2e85166ada567bc5b9f089619e306d6124259d0f9ec14730d343eee8acf09.jpg"
107;"1852";;;;"Velléda";"La Velléda est une vedette de la subdivision des phares et balises du Finistère qui avait pour mission initiale de ravitailler et de relever les phares d'Ar-Men, de la Vieille, de la Jument, des Pierres Noires et du Four. Depuis l'automatisation de ces phares, elle est utilisée pour l'entretien des autres établissements de signalisation maritime (ESM).";28;;;"Montpellier";"France";1852;92;727;"20b2b45934ff1d56110c1bd1efd1daa6d8ba4b5494fa6ea17a7a1f32af33f7ee.jpg"
108;"1645";90.5;116.5;;"Allégorie de la Prudence.";"";36;;;"Montpellier";"France";1645;92;728;"e00955a2002a42557fa83c09ac3ebdae2766ce741297f16fec50fe7ba9b48e7f.jpg"
109;"1775";;;;"Vue du grand canal et du pont du Rialto à Venise";"";37;;;"Montpellier";"France";1775;92;729;"3dc79c84b2c4fb7df128839d3b253dcb7acc7f8d95a12471cb82d40f379aa8e0.jpg"
110;"1616";103;153.5;;"Portrait du cardinal Jean de Bonsy (1554-1621), évêque de Béziers de 1598 à 1611.";"";38;;;"Montpellier";"France";1616;92;730;"0bffac6236972d0c4afc6982b7034569b191ff182abcd1a3e8395f8eb4f730a5.jpg"
111;"1725";81;58.5;;"Paysage avec des bandits";"";112;;;"Montpellier";"France";1725;92;731;"4214a877b93ae09c17025edf6d92f6084e405cacfd83f2d4e22ae6235f951152.jpg"
112;"1642";67;80;;"La Vierge au lys.";"";113;;;"Montpellier";"France";1642;92;732;"7604fbc86b7b69660abb1bd73a5322476e184c658f117e1ed1368ad5a9469286.jpg"
113;"1708";163;196;;"Apollon et Diane perçant de leurs flèches les enfants de Niobé";"";115;;;"Montpellier";"France";1708;92;733;"48bb1eee2b07eca81aa947ef0a3d30e3f7ad5ee9c431c3e630f753d5deb64370.jpg"
114;"1725";130.5;163;;"Ariane dans l'île de Naxos";"";115;;;"Montpellier";"France";1725;92;734;"70f97544a133d04643b61b34ceb802d7cf9752fdf196526a304d0a33c8628f21.jpg"
115;"1802";100;145;;"Portrait du jeune Edgar Clarke";"";29;;;"Montpellier";"France";1802;92;735;"8f3d430b4e9b018dddb2c044311d536a7ccb15e3c3489317c62525537690d712.jpg"
116;"1814";168;119;;"La mort de Narcisse";"";29;;;"Montpellier";"France";1814;92;736;"64a62cc2c71a6ea7a3ffc3f96094b21b5a232383a4fffa9eca4749278266d69f.jpg"
117;"1608";37;51;;"La fuite en Egypte";"";116;;;"Montpellier";"France";1608;92;737;"49d116c9532c291a5a59949e689a2898d44a1a74a7150cc91419f56123aec00b.jpg"
118;"1850";32.5;40.5;;"L'Hymen";"";117;;;"Montpellier";"France";1850;92;738;"08624c10857cacce67e8a0aab834cd98735bea3dd5b16b2dd880138cd8188457.jpg"
119;"1833";74.5;93;;"Jeune fille grecque en costume d'Athènes ou portrait de Madame Amédée Pichot";"";118;;;"Montpellier";"France";1833;92;739;"8c6b46703d05b6015374ac0395552eeb75fa66e670d97bcecd003a22dd7fc03a.jpg"
120;"1620";;;;"Paysage avec le sermon sur la montagne";"";119;;;"Montpellier";"France";1620;92;740;"3c617020a7d18ccfd99c308292a3fb34306737e2dbdf151e49c9f9da0775e511.jpg"
121;"1896";;;;"Touareg";"Les Touaregs, qui se nomment eux-mêmes les Kel Tamajeq, (en berbère : ⴾⵍ ⵜⵎⴰⵣⵗⵜ Kel Tamajeq) sont une ethnie berbère, divisée en plusieurs confédérations et tribus, ces berbères (Amazighs en berbère) du Sahara central et ses bordures (Algérie, Libye, Niger, Mali, Mauritanie, Tchad, et extrême nord Burkina Faso). Ils parlent une langue berbère, le tamajeq, et utilisent un alphabet appelé tifinagh (prononcé en français tifinar). Ils occupent la plus grande des régions berbérophones.
Souvent nomades, leur sédentarisation s'accélère depuis la seconde moitié du XXe siècle. Ils sont confrontés à des formes d'assimilation culturelle et linguistique (acculturation) et à une marginalisation économique et politique (de) qui les ont conduits à la lutte armée dans les années 1990. Beaucoup ont abandonné le nomadisme pour se fixer dans les grandes villes du Sahara, comme Tamanrasset en Algérie ou Agadez au Niger, ou les capitales des États sahéliens (Bamako, Niamey).";120;;;"Montpellier";"France";1896;92;741;"bdca3753cbe3b680945a9548dec03f39c025c14ab576dc34afd51bd983edb197.jpg"
123;"1687";;;;"Saint Pierre et saint Jean guérissant le paralytique à l'entrée du Temple de Jérusalem";"";66;;;"Montpellier";"France";1687;92;743;"8c08a42aac1b8fe1c25f6be4d2a5a9f8fbebe16fecef5da888f5f8f6558ce8a1.jpg"
124;"1885";298;160;;"La Charge d'Alincourt";"";122;;;"Montpellier";"France";1885;92;744;"455ffd430a4fcb9e69b002c274503b8051efb05ec3208fe319be96ef000a91ee.jpg"
125;"1814";56;45.5;;"Intérieur de cuisine";"La Cuisine (Intérieur) ou Intérieur de cuisine est un tableau réalisé par le peintre français Maurice de Vlaminck en 1905. Cette huile sur toile fauve représente l'intérieur d'une cuisine où se distinguent notamment une table au centre, une fenêtre à l'arrière-plan et une femme à gauche. Récupérée en Allemagne à la chute du Troisième Reich, elle est aujourd'hui conservée au musée national d'Art moderne, à Paris.";123;;;"Montpellier";"France";1814;92;745;"976b476f97c5318694b6b106de0e122d1faeecc9be34b5fc25bc4fd96787d42f.jpg"
126;"1450";;;;"Vierge avec l'Enfant et le petit saint Jean";"";110;;;"Montpellier";"France";1450;92;746;"5e9c1126801151304d2c7ab35e1fba6345737b87249f638eb3f8618b469f2fbe.jpg"
127;"1849";49.5;66.5;;"Daniel dans la fosse aux lions";"Daniel dans la fosse aux lions fait référence à deux épisodes de la Bible relatés dans le Livre de Daniel. Selon le récit biblique, Daniel fut jeté aux lions par deux fois. La première fois par Darius II pour un jour et la deuxième fois, quelques années plus tard, par Cyrus le Jeune, pendant une semaine. Dans les deux cas, il sort de l'épreuve indemne.";31;;;"Montpellier";"France";1849;92;747;"6699df0734507c257412e47b87b315bd9e89f1c85e90a254cd008350ac9c64c1.jpg"
128;"1850";33;40.5;;"Michel-Ange dans son atelier";"";31;;;"Montpellier";"France";1850;92;748;"aae0fd90a86c80b7e053c07d808ff78382115890d91484d855a88f30b5ab372c.jpg"
130;"1841";71;96.4;;"Mariuccia";"";71;;;"Montpellier";"France";1841;92;750;"f1b8769190f47e12112bf5b40d0d956d498a2214075219578579e5721ec50433.jpg"
131;"1882";170;250;;"Mireille";"Mireille est un prénom féminin.";72;;;"Montpellier";"France";1882;92;751;"d125aacb7e0179bc39eabd3fb8c2cb743b34b878a26664ce6e07fe2464f84ea3.jpg"
132;"1658";47;56;;"Saint Jean l'évangéliste à Patmos";"";73;;;"Montpellier";"France";1658;92;752;"26020aacd75f2b1093d45c072ca1c6ac9c4fa9772546050c0b8e4a8d6db63878.jpg"
133;"1834";179;244;;"Eve tentée par le serpent.";"";74;;;"Montpellier";"France";1834;92;753;"a0be6adb95afdef6b84cbc84018ac86bb4e4ae2f7358ecba1fb6555da8951aea.jpg"
134;"1780";38;41;;"Jeune-fille aux mains jointes";"";48;;;"Montpellier";"France";1780;92;754;"d9fe114c7763378f493b84445e37deb4a9abcd3ea360f55531840850fe69f8de.jpg"
135;"1775";37.5;45;;"Jeune-fille de dos";"";48;;;"Montpellier";"France";1775;92;755;"37ac6941232794d525d0c6341c892127337d4a976bf2069c26622ff96922a1db.jpg"
136;"1780";52;66.5;;"La prière du matin";"";48;;;"Montpellier";"France";1780;92;756;"0e5b8aa3f6ad5c440a1e5c26689612d0cf7f3b091a54101e8bd64c18e1c28778.jpg"
137;"1750";31.5;42.5;;"Une fillette";"";48;;;"Montpellier";"France";1750;92;757;"9cff23faa5add93a84cc10b07e561f421b0c8e9ac74dbbd9fc1b38764bf9dfe8.jpg"
138;"1500";38.5;46;;"Le petit mathématicien";"";48;;;"Montpellier";"France";1500;92;758;"78682ba9e46657e5ce4baeb2df4e58720c3e503c72637d0c1a22b74c3afc8547.jpg"
139;"1775";39;47;;"La jeune fille au panier";"";48;;;"Montpellier";"France";1775;92;759;"6f05becbc7032caefd0d34e614a89e8b1feef3c755a572ef5fae50fe564dfa3e.jpg"
140;"1773";54.5;88.5;;"Buste du paralytique";"";48;;;"Montpellier";"France";1773;92;760;"cdbfb2392261c8bf230274c147bc77c0482803515f0a6fd27341912b085ce068.jpg"
141;"1637";97;128;;"La Madeleine pénitente.";"";75;;;"Montpellier";"France";1637;92;761;"250663d3d263fde2f57e089a1d86d1bd3af0c7d52da9aea08c69aee9645d7ef8.jpg"
142;"1922";52;65;;"Portrait d'Elisabeth Denis";"";76;;;"Montpellier";"France";1922;92;762;"25a266f49ec57f0c62d316d64aa4475dd9f2e64db2e288b3be57a8ea4ded24e3.jpg"
143;"1799";39.5;29;;"Les Arts, la Richesse, les Plaisirs et la Philosophie";"";77;;;"Montpellier";"France";1799;92;763;"eb8b0bba20cc19187e5e094359808ff1c4f48caa02ab7dd2e05795a8c5822c15.jpg"
144;"1616";570;390;;"Enée et Achate apparaissant à Didon";"";78;;;"Montpellier";"France";1616;92;764;"2f1764fe1c4b46bf481d0c677a6183a07cbde3aafbf5898c72a4ebc7c8a9b3c9.jpg"
145;"1681";185;153;;"Louis XIV se repose dans le sein de la gloire après la paix de Nimègue.";"";78;;;"Montpellier";"France";1681;92;765;"9f95f2fdb322e042c05dd4c69c49049fa1952b6e121a4971385a7a2816f93952.jpg"
146;"1723";45.5;55;;"Le bon samaritain";"Le Bon Samaritain est une parabole du Nouveau Testament dont se sert Jésus de Nazareth pour illustrer sa définition de l'« amour du prochain ». Il répond à une question qui lui est posée à propos de la « Règle d'or » de l'Ancien Testament : « Tu aimeras ton prochain comme toi-même » (Lévitique 19:18).
Cette parabole ne figure que dans l’Évangile selon Luc (Lc 10:25-37). Dans le domaine de l'exégèse biblique, elle fait partie du Sondergut de cet évangéliste.";79;;;"Montpellier";"France";1723;92;766;"5595e02c356f3b48d82e9f7edb422398eaf77016e5ab5a2f7726f8c8c6fe1919.jpg"
147;"1776";129;98;;"Bélisaire demandant l’aumône";"Bélisaire demandant l'aumône est un tableau peint par Jacques-Louis David en 1780 représentant le général byzantin Bélisaire alors déchu et aveugle et inspiré directement du roman Bélisaire de Jean-François Marmontel. Première peinture néo-classique importante de Jacques-Louis David elle rencontra un important succès au Salon  de 1781. Le tableau est conservé au palais des Beaux-Arts de Lille et une réplique de dimensions réduites peinte en 1784 est conservée au musée du Louvre.";80;;;"Montpellier";"France";1776;92;767;"4a85936ede9262ddf5a271b4e7241f4c592ca9ed7e8e7687ec9b7cd92bc06eb3.jpg"
148;"1776";131;98.6;;"Alcibiade recevant les leçons de Socrate";"";80;;;"Montpellier";"France";1776;92;768;"1ef289b018d98b58fa65a053a77bb95e882683a70bee69ef28f28feda53ebdbe.jpg"
149;"1771";;;;"La mort de Caton";"";80;;;"Montpellier";"France";1771;92;769;"b46c55800d1e4275f8e714211c62763b2ea68a8d398ad6424b8d127e2ca28193.jpg"
150;"1787";;;;"Renaud et Armide";"Renaud et Armide est le titre de plusieurs œuvres inspirées par les personnages de La Jérusalem délivrée, par Le Tasse :

Renaud et Armide, tableau attribué au Tintoret.
Renaud et Armide, tableau par Annibale Carracci.
Renaud et Armide, tableau par Antoine van Dyck.
Renaud et Armide, ballet par Jean-Georges Noverre.
Renaud et Armide, tragédie par Jean Cocteau.
 Renaud et Armide, peinture murale au château de Trécesson";80;;;"Montpellier";"France";1787;92;770;"0a961f2b4c9e94be4c61dd921e6048b159c7edd338e808e0480e8111930468d3.jpg"
